hpx,Mean,StDev,Min,Max,Median,Q10,NGood,RA,Dec,GAL_LONG,GAL_LAT
0,0.009036292,0.005012419,6.601E-4,0.02666511,0.00828233,0.0028035,821,45.0,4.780191847199159,172.05062269953393,-45.47739590609485
1,0.00847505,0.0048038466,2.5551E-4,0.02855531,0.00756369,0.00300149,965,50.62499999999999,9.594068226860461,173.09644763364517,-38.1497476587662
2,0.008965573,0.0047885734,8.045E-5,0.02888175,0.00835174,0.00315545,918,39.375,9.594068226860461,161.57142923513507,-45.17289797210657
3,0.008086246,0.004454805,6.789E-5,0.02505177,0.00770047,0.0024864,1096,45.0,14.477512185929923,163.75164896782934,-38.000477056371984
4,0.0072245565,0.003960606,2.847E-4,0.02615815,0.00692404,0.00260028,1343,56.25,14.477512185929923,173.68811714767577,-30.811226863407402
5,0.005565009,0.0030892505,1.3007E-4,0.01863055,0.00510538,0.00188446,2250,61.87499999999999,19.47122063449069,173.82108870288155,-23.4735449233152
6,0.006766738,0.0036931068,3.4737E-4,0.02755611,0.00630109,0.0025055,1481,50.62499999999999,19.47122063449069,165.14431721348555,-30.75212524824437
7,0.0052235965,0.0028707087,7.462E-5,0.02226822,0.004798375,0.001816265,2486,56.25,24.624318352164078,165.83120603298534,-23.449170939448248
8,0.008470106,0.0047616237,8.012E-5,0.02879562,0.00780201,0.003022425,902,33.75,14.477512185929923,151.46642796508306,-43.716004417914206
9,0.008112626,0.0045391093,1.2317E-4,0.02462788,0.00744094,0.00259131,1101,39.375,19.47122063449069,154.63793653014454,-36.78638694177338
10,0.00835904,0.0043091946,7.2314E-4,0.02681426,0.00800524,0.00296149,1042,28.125,19.47122063449069,142.16776562547628,-41.10855897178751
11,0.007344301,0.0040513217,6.5509E-4,0.02294156,0.006874825,0.00245835,1298,33.75,24.624318352164078,146.0830770612415,-34.46303634158055
12,0.0069173854,0.0036170618,5.7752E-4,0.02002962,0.006507235,0.002491065,1484,45.0,24.624318352164078,156.7539582747104,-29.674245217209446
13,0.0059002275,0.0030613863,1.849E-4,0.02088831,0.00546085,0.002326936,2075,50.62499999999999,30.000000000000004,157.94245149223946,-22.414604156624097
14,0.00643763,0.0032850553,3.5924E-4,0.02116524,0.00601951,0.00262252,1786,39.375,30.000000000000004,148.77211312929862,-27.49605851147708
15,0.0046945782,0.0025474848,6.779E-5,0.02122315,0.00433023,0.001652504,3169,45.0,35.68533471265205,150.35587068464403,-20.24914350520514
16,0.0048824726,0.0028210906,6.638E-5,0.06685227,0.004457165,0.001715767,30648,67.5,24.624318352164078,173.45166590546626,-16.1533283094954
17,0.003274804,0.0016653852,5.785E-5,0.01099944,0.00305635,0.00132031,6853,73.12500000000001,30.000000000000004,172.49426123714952,-8.875434783404298
18,0.004440971,0.002311774,6.757E-5,0.01542994,0.00427277,0.001623442,3687,61.87499999999999,30.000000000000004,165.8129945551636,-16.111618383983117
19,0.004211876,0.0024870103,9.894E-5,0.02741707,0.00380889,0.00151024,3615,67.5,35.68533471265205,165.01668220708183,-8.762670883085846
20,0.00256453,0.0012872814,5.684E-5,0.01039455,0.00235931,0.001050996,11183,78.75,35.68533471265205,170.8081255487088,-1.678520286699332
21,0.002447701,0.0012174348,5.111E-5,0.00920743,0.0022681,0.001022206,12373,84.37499999999999,41.810314895778596,168.16885292352126,5.3749524173745025
22,0.0022536954,0.0010985305,7.277E-5,0.0073267,0.00209888,9.62282E-4,14789,73.12500000000001,41.810314895778596,163.2792947782679,-1.433913985959958
